Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
que			1	280092	54724	32186.418	0.874
eu			2	244550	50186	28102.154	0.802
o			3	215938	51812	24814.242	0.828
de			4	207462	51918	23840.233	0.829
não			5	202664	46582	23288.877	0.744
e			6	192946	50424	22172.145	0.806
a			7	183538	49032	21091.037	0.783
você			8	150842	35652	17333.818	0.570
é			9	149410	41356	17169.261	0.661
me			10	146216	39812	16802.227	0.636
pra			11	124432	41332	14298.946	0.660
meu			12	100604	36018	11560.781	0.575
te			13	100306	27538	11526.537	0.440
se			14	93596	34606	10755.466	0.553
amor			15	88466	30686	10165.958	0.490
um			16	81906	32126	9412.124	0.513
do			17	75488	30014	8674.608	0.480
no			18	70894	29218	8146.694	0.467
vou			19	63858	22462	7338.161	0.359
na			20	63528	25896	7300.240	0.414
mais			21	60616	25922	6965.611	0.414
com			22	59800	27114	6871.841	0.433
vai			23	59374	20926	6822.888	0.334
só			24	59160	25980	6798.297	0.415
por			25	50194	23198	5767.980	0.371
em			26	49492	23776	5687.311	0.380
da			27	48066	21624	5523.444	0.345
quero			28	46768	18080	5374.286	0.289
seu			29	40990	19072	4710.314	0.305
minha			30	40776	19192	4685.722	0.307
tem			31	40470	17572	4650.559	0.281
uma			32	39250	19730	4510.364	0.315
mas			33	37182	18486	4272.722	0.295
coração			34	36680	19568	4215.036	0.313
sem			35	36598	16862	4205.613	0.269
mim			36	33558	16582	3856.275	0.265
sou			37	31856	12206	3660.692	0.195
já			38	31836	16650	3658.394	0.266
quando			39	31366	17214	3604.384	0.275
ela			40	30960	8842	3557.729	0.141
tudo			41	30454	15762	3499.583	0.252
tá			42	29752	9970	3418.913	0.159
vem			43	27508	11204	3161.047	0.179
quem			44	27468	12902	3156.450	0.206
foi			45	24820	12608	2852.159	0.201
sei			46	24562	12270	2822.511	0.196
gente			47	24488	11564	2814.008	0.185
como			48	23504	12420	2700.932	0.198
vida			49	22986	12844	2641.407	0.205
bem			50	22678	12546	2606.014	0.200
quer			51	22192	10364	2550.166	0.166
ser			52	22144	11418	2544.650	0.182
tô			53	21450	7724	2464.900	0.123
teu			54	21310	9508	2448.812	0.152
faz			55	20986	11144	2411.580	0.178
amar			56	20914	10124	2403.306	0.162
assim			57	20610	11442	2368.372	0.183
ver			58	20564	10826	2363.086	0.173
ai			59	19802	4842	2275.522	0.077
nem			60	19726	10792	2266.788	0.172
agora			61	19610	10252	2253.458	0.164
dia			62	18558	10938	2132.569	0.175
fazer			63	17304	9954	1988.467	0.159
todo			64	17246	9950	1981.802	0.159
esse			65	17154	9552	1971.230	0.153
sua			66	16904	9372	1942.502	0.150
as			67	16804	9932	1931.010	0.159
para			68	16510	9138	1897.226	0.146
mulher			69	16358	6988	1879.759	0.112
sempre			70	16180	8926	1859.304	0.143
dá			71	16124	7822	1852.869	0.125
ele			72	16074	5912	1847.123	0.094
os			73	15990	9512	1837.471	0.152
mundo			74	15956	9172	1833.564	0.147
lá			75	15786	7534	1814.028	0.120
aqui			76	15644	8608	1797.710	0.138
tão			77	15622	9356	1795.182	0.149
essa			78	15424	8934	1772.429	0.143
ter			79	14934	8714	1716.122	0.139
estou			80	14748	8252	1694.748	0.132
pode			81	14710	7684	1690.381	0.123
ficar			82	13996	7842	1608.333	0.125
x			83	13932	6590	1600.978	0.105
tempo			84	13740	8004	1578.915	0.128
bom			85	13688	6144	1572.939	0.098
nunca			86	13634	7568	1566.734	0.121
até			87	13422	8332	1542.372	0.133
amo			88	13360	5436	1535.247	0.087
hoje			89	13142	6848	1510.196	0.109
porque			90	13136	7532	1509.507	0.120
noite			91	12908	7678	1483.306	0.123
nada			92	12654	7096	1454.118	0.113
jeito			93	12538	7128	1440.788	0.114
muito			94	12494	7844	1435.732	0.125
viver			95	12186	7174	1400.339	0.115
isso			96	11728	6906	1347.708	0.110
saudade			97	11618	6574	1335.068	0.105
dar			98	11502	6672	1321.738	0.107
ao			99	11486	7388	1319.899	0.118
ninguém			100	11416	6568	1311.855	0.105
nosso			101	11402	6498	1310.246	0.104
dizer			102	11340	6576	1303.122	0.105
era			103	11230	5816	1290.481	0.093
tenho			104	11186	6804	1285.425	0.109
vez			105	11074	6168	1272.555	0.099
forró			106	10860	4412	1247.963	0.070
comigo			107	10840	6222	1245.665	0.099
pro			108	10660	6154	1224.980	0.098
está			109	10636	6156	1222.222	0.098
ou			110	10626	5368	1221.073	0.086
paixão			111	10246	6572	1177.406	0.105
diz			112	10176	5648	1169.362	0.090
tu			113	10154	3844	1166.834	0.061
tanto			114	10106	6124	1161.318	0.098
toda			115	9920	6180	1139.944	0.099
sabe			116	9828	5836	1129.372	0.093
beijo			117	9714	4978	1116.272	0.080
deixa			118	9652	5010	1109.147	0.080
nos			119	9582	6118	1101.103	0.098
demais			120	9296	4890	1068.238	0.078
onde			121	9090	5332	1044.566	0.085
ainda			122	8940	5420	1027.329	0.087
feliz			123	8762	5612	1006.874	0.090
nós			124	8650	4904	994.004	0.078
esquecer			125	8494	5046	976.077	0.081
mesmo			126	8298	5352	953.554	0.086
oh			127	8252	1892	948.268	0.030
dançar			128	8200	3894	942.293	0.062
alguém			129	8182	4798	940.224	0.077
ta			130	8066	3172	926.894	0.051
são			131	8022	4028	921.838	0.064
aí			132	8000	4018	919.310	0.064
lhe			133	7948	4450	913.334	0.071
corpo			134	7930	4960	911.266	0.079
deus			135	7888	4168	906.440	0.067
outra			136	7772	4776	893.110	0.076
também			137	7756	5060	891.271	0.081
hora			138	7748	5060	890.352	0.081
fez			139	7704	4596	885.295	0.073
depois			140	7644	4860	878.401	0.078
fica			140	7644	4542	878.401	0.073
meus			142	7642	5070	878.171	0.081
mão			143	7630	4262	876.792	0.068
chorar			144	7604	4062	873.804	0.065
casa			145	7592	4378	872.425	0.070
ô			146	7564	1662	869.207	0.027
voltar			147	7476	4510	859.095	0.072
dois			148	7416	4272	852.200	0.068
vamos			149	7376	3624	847.604	0.058
outro			150	7370	4660	846.914	0.074
solidão			151	7244	4824	832.435	0.077
olhar			152	7232	4994	831.056	0.080
saber			153	7132	4436	819.565	0.071
desse			154	7062	4504	811.521	0.072
posso			155	7056	4324	810.831	0.069
boca			156	6968	3794	800.719	0.061
fui			157	6936	4056	797.042	0.065
deu			158	6806	4118	782.103	0.066
sinto			159	6792	4366	780.494	0.070
melhor			160	6708	4140	770.841	0.066
ama			161	6692	3900	769.003	0.062
cara			162	6652	3574	764.406	0.057
preciso			163	6640	3690	763.027	0.059
sol			164	6634	4044	762.338	0.065
dos			165	6574	4198	755.443	0.067
olha			166	6506	3450	747.629	0.055
lado			167	6490	4246	745.790	0.068
homem			168	6432	3494	739.125	0.056
querer			169	6374	3822	732.460	0.061
novo			170	6324	3768	726.714	0.060
falar			171	6316	4026	725.795	0.064
ah			172	6306	1754	724.646	0.028
sofrer			173	6262	3836	719.590	0.061
beber			174	6206	2104	713.155	0.034
pois			175	6170	4104	709.018	0.066
embora			176	6152	3904	706.949	0.062
gosto			177	6144	3426	706.030	0.055
fim			178	6134	4136	704.881	0.066
volta			179	6088	3390	699.595	0.054
logo			180	6022	3786	692.011	0.060
nossa			181	5950	3816	683.737	0.061
deixar			182	5908	3708	678.910	0.059
num			183	5890	3726	676.842	0.060
céu			184	5884	3640	676.152	0.058
to			185	5782	2526	664.431	0.040
tua			186	5778	3258	663.972	0.052
olhos			187	5728	3936	658.226	0.063
menina			188	5706	2992	655.698	0.048
grande			189	5696	3572	654.549	0.057
será			190	5628	2978	646.734	0.048
som			190	5628	2462	646.734	0.039
chão			192	5612	2834	644.896	0.045
quiser			193	5572	3236	640.299	0.052
queria			194	5532	3276	635.703	0.052
dor			195	5510	3414	633.175	0.055
encontrar			196	5474	3564	629.038	0.057
querendo			197	5458	3118	627.199	0.050
pé			198	5420	3106	622.832	0.050
mar			199	5418	2762	622.603	0.044
dentro			200	5392	3610	619.615	0.058
seus			201	5344	3408	614.099	0.054
chega			202	5336	3444	613.180	0.055
medo			203	5316	2992	610.881	0.048
vê			204	5298	3246	608.813	0.052
cama			205	5294	3200	608.353	0.051
peito			206	5260	3682	604.446	0.059
for			207	5248	3056	603.067	0.049
coisa			208	5244	3574	602.608	0.057
deixe			209	5228	2958	600.769	0.047
vi			210	5220	2896	599.850	0.046
louca			211	5206	2490	598.241	0.040
lugar			212	5150	3446	591.806	0.055
dela			213	5078	2440	583.532	0.039
nesse			214	5044	3244	579.625	0.052
faço			215	5032	3096	578.246	0.049
então			216	4998	3022	574.339	0.048
sai			217	4994	2810	573.879	0.045
fora			218	4986	3066	572.960	0.049
lua			219	4976	2726	571.811	0.044
fico			220	4946	3158	568.363	0.050
das			221	4914	2920	564.686	0.047
fiz			222	4870	3292	559.630	0.053
perder			223	4836	2948	555.723	0.047
dessa			224	4792	3052	550.667	0.049
dança			225	4786	2146	549.977	0.034
vejo			226	4756	3280	546.530	0.052
sonho			227	4746	2930	545.381	0.047
nessa			228	4640	3192	533.200	0.051
pelo			229	4612	3240	529.982	0.052
cada			230	4600	2846	528.603	0.045
boa			231	4566	2564	524.696	0.041
cabeça			232	4540	2456	521.708	0.039
desejo			233	4514	3140	518.721	0.050
bis			234	4510	2612	518.261	0.042
falta			235	4456	2556	512.056	0.041
favor			236	4446	2736	510.906	0.044
louco			237	4436	2534	509.757	0.040
carinho			238	4424	3182	508.378	0.051
vaqueiro			239	4412	1482	506.999	0.024
chama			240	4372	2390	502.403	0.038
sentir			241	4354	2736	500.334	0.044
quis			242	4342	2862	498.955	0.046
povo			243	4338	2446	498.496	0.039
sair			244	4334	2740	498.036	0.044
festa			245	4312	2586	495.508	0.041
disse			246	4306	2510	494.819	0.040
chegou			247	4254	2630	488.843	0.042
prazer			248	4248	2920	488.154	0.047
mal			249	4222	2728	485.166	0.044
chora			250	4186	1980	481.029	0.032
la			251	4184	1500	480.799	0.024
há			252	4152	2546	477.122	0.041
ti			253	4126	2076	474.134	0.033
gosta			254	4114	2136	472.755	0.034
vezes			255	4108	2510	472.066	0.040
passa			256	4100	2640	471.146	0.042
linda			257	4076	2442	468.388	0.039
deixou			258	4068	2726	467.469	0.044
longe			259	4026	2658	462.643	0.042
qualquer			260	4012	2760	461.034	0.044
pensando			261	3994	2474	458.965	0.040
venha			262	3984	1882	457.816	0.030
beijar			263	3982	2030	457.586	0.032
verdade			264	3966	2658	455.748	0.042
dei			265	3948	2396	453.679	0.038
boi			266	3928	1144	451.381	0.018
nome			266	3928	2484	451.381	0.040
fala			268	3908	2110	449.083	0.034
bate			269	3880	1942	445.865	0.031
quanto			270	3872	2444	444.946	0.039
consigo			271	3866	2474	444.256	0.040
pouco			272	3850	2396	442.418	0.038
cá			273	3846	2118	441.958	0.034
parar			274	3840	2224	441.269	0.036
poder			275	3834	2398	440.579	0.038
vontade			276	3832	2594	440.349	0.041
gostoso			277	3822	2084	439.200	0.033
morena			278	3812	1796	438.051	0.029
nas			279	3808	2680	437.592	0.043
fogo			280	3772	2256	433.455	0.036
acabou			281	3766	2330	432.765	0.037
à			282	3756	2474	431.616	0.040
feito			283	3694	2432	424.491	0.039
refrão			284	3686	2344	423.572	0.037
pega			285	3660	1668	420.584	0.027
carro			286	3656	1836	420.125	0.029
ir			286	3656	2182	420.125	0.035
fazendo			288	3640	2280	418.286	0.036
paz			289	3634	2410	417.597	0.039
apaixonado			290	3618	2136	415.758	0.034
braços			290	3618	2578	415.758	0.041
terra			292	3606	2300	414.379	0.037
numa			293	3600	2432	413.689	0.039
teus			294	3584	2356	411.851	0.038
meio			295	3574	2306	410.702	0.037
vá			296	3488	1716	400.819	0.027
sim			297	3478	1730	399.670	0.028
dou			298	3468	1918	398.521	0.031
sozinho			298	3468	2470	398.521	0.039
vivo			300	3462	2368	397.831	0.038
diga			301	3438	1796	395.073	0.029
ouvir			302	3430	2104	394.154	0.034
alegria			303	3360	2562	386.110	0.041
chegar			304	3354	2246	385.421	0.036
cheiro			305	3350	2162	384.961	0.035
tinha			306	3336	2128	383.352	0.034
bota			307	3302	1350	379.445	0.022
calor			308	3298	2274	378.985	0.036
ficou			309	3280	2234	376.917	0.036
flor			310	3258	1900	374.389	0.030
atrás			311	3256	2036	374.159	0.033
tanta			312	3242	2256	372.550	0.036
esta			313	3234	2196	371.631	0.035
perto			314	3206	2144	368.413	0.034
sorriso			315	3204	2268	368.184	0.036
sertão			316	3156	1876	362.668	0.030
passou			317	3148	2076	361.748	0.033
aquele			318	3138	2060	360.599	0.033
cima			319	3124	1686	358.991	0.027
tava			320	3120	1718	358.531	0.027
entender			321	3116	2070	358.071	0.033
galera			322	3112	1634	357.612	0.026
inteira			322	3112	2128	357.612	0.034
pegar			322	3112	1628	357.612	0.026
seja			325	3110	1954	357.382	0.031
joão			326	3084	1416	354.394	0.023
bebo			327	3058	930	351.406	0.015
luz			328	3054	1982	350.947	0.032
frente			329	3048	1874	350.257	0.030
estar			330	3042	1990	349.568	0.032
pensar			331	3036	2064	348.878	0.033
amigo			332	3028	1816	347.959	0.029
história			332	3028	2074	347.959	0.033
pela			334	3012	2190	346.120	0.035
leva			335	2998	1624	344.511	0.026
quase			336	2990	2134	343.592	0.034
água			337	2986	1852	343.132	0.030
liga			338	2954	1564	339.455	0.025
todos			339	2944	2042	338.306	0.033
cantar			340	2942	1828	338.076	0.029
lindo			341	2932	1912	336.927	0.031
dinheiro			342	2920	1654	335.548	0.026
lembrar			342	2920	1716	335.548	0.027
entre			344	2914	2046	334.859	0.033
forte			344	2914	2040	334.859	0.033
passar			344	2914	1918	334.859	0.031
tome			347	2894	598	332.560	0.010
levar			348	2876	1872	330.492	0.030
ia			349	2860	1536	328.653	0.025
chorando			350	2858	1822	328.423	0.029
estava			351	2852	2012	327.734	0.032
amei			352	2834	1498	325.666	0.024
rio			353	2822	2004	324.287	0.032
coisas			354	2794	1946	321.069	0.031
sofrendo			355	2790	1772	320.609	0.028
contigo			356	2778	1828	319.230	0.029
fosse			357	2762	1734	317.392	0.028
tirar			358	2740	1558	314.864	0.025
acabar			359	2738	1892	314.634	0.030
adeus			360	2730	1378	313.714	0.022
tocar			361	2726	1852	313.255	0.030
fiquei			362	2682	1760	308.199	0.028
beija			363	2676	1342	307.509	0.021
porta			364	2666	1778	306.360	0.028
pai			365	2664	1428	306.130	0.023
toca			366	2652	1288	304.751	0.021
menino			367	2650	1594	304.521	0.025
voz			368	2638	1774	303.142	0.028
cair			369	2636	1414	302.913	0.023
chegando			369	2636	1302	302.913	0.021
igual			371	2626	1720	301.763	0.027
morrer			372	2616	1642	300.614	0.026
vão			373	2612	1718	300.155	0.027
ê			374	2610	528	299.925	0.008
canto			375	2606	1786	299.465	0.029
tira			375	2606	1146	299.465	0.018
suas			377	2596	1694	298.316	0.027
choro			378	2594	1132	298.086	0.018
chuva			379	2588	1538	297.397	0.025
tum			380	2584	270	296.937	0.004
cachaça			381	2572	1164	295.558	0.019
mulherada			382	2570	1362	295.328	0.022
nao			383	2560	1008	294.179	0.016
muita			384	2556	1768	293.720	0.028
voce			385	2554	932	293.490	0.015
toma			386	2534	864	291.191	0.014
jogo			387	2526	1582	290.272	0.025
vento			388	2506	1684	287.974	0.027
vive			389	2500	1788	287.284	0.029
namorar			390	2472	1342	284.067	0.021
pena			391	2458	1528	282.458	0.024
dizendo			392	2456	1732	282.228	0.028
cê			393	2450	982	281.539	0.016
pedir			394	2440	1636	280.390	0.026
tomar			394	2440	1396	280.390	0.022
aquela			396	2432	1668	279.470	0.027
triste			397	2430	1798	279.240	0.029
baby			398	2418	702	277.861	0.011
dói			399	2414	1126	277.402	0.018
mel			400	2380	1284	273.495	0.021
acho			401	2362	1564	271.426	0.025
bar			401	2362	1060	271.426	0.017
razão			403	2356	1828	270.737	0.029
procurar			404	2352	1584	270.277	0.025
inteiro			405	2346	1704	269.588	0.027
bonita			406	2336	1454	268.438	0.023
lembro			407	2326	1522	267.289	0.024
parece			408	2322	1686	266.830	0.027
conta			409	2320	1460	266.600	0.023
juro			410	2312	1468	265.681	0.023
tentar			411	2308	1420	265.221	0.023
junto			412	2300	1468	264.302	0.023
destino			413	2292	1690	263.382	0.027
mãe			414	2290	1132	263.152	0.018
valor			414	2290	1516	263.152	0.024
dançando			416	2286	1212	262.693	0.019
esperar			417	2270	1586	260.854	0.025
difícil			418	2268	1530	260.624	0.024
momento			418	2268	1626	260.624	0.026
tarde			420	2264	1536	260.165	0.025
maria			421	2254	948	259.016	0.015
diferente			422	2250	1538	258.556	0.025
maior			422	2250	1596	258.556	0.025
certo			424	2238	1522	257.177	0.024
sentimento			425	2228	1550	256.028	0.025
faça			426	2226	1438	255.798	0.023
esperando			427	2224	1438	255.568	0.023
ilusão			428	2214	1530	254.419	0.024
veio			428	2214	1390	254.419	0.022
peço			430	2212	1462	254.189	0.023
cidade			431	2210	1432	253.959	0.023
existe			431	2210	1498	253.959	0.024
mexe			431	2210	770	253.959	0.012
doce			434	2188	1186	251.431	0.019
felicidade			435	2184	1632	250.972	0.026
amigos			436	2182	1584	250.742	0.025
mudar			437	2178	1402	250.282	0.022
viu			438	2164	1316	248.673	0.021
sonhos			439	2152	1546	247.294	0.025
cavalo			440	2150	1122	247.065	0.018
velho			441	2148	1360	246.835	0.022
antes			442	2134	1502	245.226	0.024
penso			442	2134	1390	245.226	0.022
sente			444	2118	1402	243.387	0.022
canção			445	2112	1566	242.698	0.025
vale			446	2106	1206	242.008	0.019
caminho			447	2104	1644	241.778	0.026
madrugada			448	2102	1530	241.549	0.024
zé			449	2092	844	240.400	0.013
olho			450	2090	1338	240.170	0.021
rua			451	2088	1452	239.940	0.023
paredão			452	2084	908	239.480	0.015
dê			453	2076	1194	238.561	0.019
doido			454	2074	978	238.331	0.016
sanfoneiro			455	2054	1332	236.033	0.021
perdi			456	2050	1394	235.573	0.022
desce			457	2048	626	235.343	0.010
agente			458	2044	1212	234.884	0.019
todas			459	2038	1310	234.194	0.021
oi			460	2036	546	233.964	0.009
toque			460	2036	966	233.964	0.015
love			462	2034	530	233.735	0.008
cai			463	2032	1138	233.505	0.018
chance			464	2030	1320	233.275	0.021
ar			465	2022	1362	232.356	0.022
quê			466	2018	1016	231.896	0.016
dormir			467	2010	1368	230.977	0.022
jamais			468	2008	1236	230.747	0.020
pensa			469	1994	1218	229.138	0.019
mãos			470	1976	1330	227.070	0.021
primeiro			471	1970	1288	226.380	0.021
curtir			472	1968	1066	226.150	0.017
cabra			473	1964	1262	225.691	0.020
aonde			474	1958	1212	225.001	0.019
ligar			475	1956	1082	224.771	0.017
balada			476	1954	1066	224.541	0.017
roupa			476	1954	1266	224.541	0.020
bola			478	1948	994	223.852	0.016
dando			478	1948	1192	223.852	0.019
perdeu			480	1942	1144	223.162	0.018
traz			481	1932	1174	222.013	0.019
bicho			482	1924	852	221.094	0.014
pessoa			483	1918	1206	220.405	0.019
correndo			484	1914	1336	219.945	0.021
i			484	1914	472	219.945	0.008
pego			486	1906	960	219.026	0.015
bonito			487	1904	1332	218.796	0.021
pede			487	1904	1092	218.796	0.017
chorei			489	1902	1096	218.566	0.018
precisa			489	1902	1234	218.566	0.020
vaquejada			489	1902	844	218.566	0.013
digo			492	1900	1198	218.336	0.019
senhor			493	1898	908	218.106	0.015
anda			494	1896	1172	217.876	0.019
rei			495	1894	920	217.647	0.015
chamar			496	1884	1196	216.497	0.019
cerveja			497	1882	1078	216.268	0.017
estrelas			498	1876	1334	215.578	0.021
pau			499	1864	826	214.199	0.013
prá			500	1862	852	213.969	0.014
abraço			501	1856	1304	213.280	0.021
salão			502	1854	1256	213.050	0.020
estrada			503	1846	1306	212.131	0.021
trás			503	1846	1218	212.131	0.019
nova			505	1844	1150	211.901	0.018
falando			506	1836	1210	210.982	0.019
enquanto			507	1834	1222	210.752	0.020
pensei			507	1834	1276	210.752	0.020
gado			509	1830	876	210.292	0.014
sanfona			510	1824	1146	209.603	0.018
mata			511	1822	1162	209.373	0.019
ei			512	1818	628	208.913	0.010
falou			513	1814	1272	208.454	0.020
chego			514	1808	1100	207.764	0.018
comer			515	1806	856	207.534	0.014
rolar			515	1806	900	207.534	0.014
loucura			517	1800	1242	206.845	0.020
ruim			517	1800	1104	206.845	0.018
alma			519	1798	1302	206.615	0.021
vendo			519	1798	1228	206.615	0.020
olhando			521	1796	1270	206.385	0.020
sonhar			521	1796	1192	206.385	0.019
lê			523	1792	184	205.925	0.003
senta			523	1792	266	205.925	0.004
tristeza			525	1782	1396	204.776	0.022
vim			526	1780	1056	204.546	0.017
amando			527	1770	1146	203.397	0.018
menos			528	1768	1170	203.167	0.019
mil			529	1764	1190	202.708	0.019
sozinha			530	1762	1246	202.478	0.020
passo			531	1756	1206	201.789	0.019
balança			532	1740	698	199.950	0.011
és			533	1734	894	199.260	0.014
beijos			534	1730	1300	198.801	0.021
causa			535	1728	966	198.571	0.015
força			535	1728	1176	198.571	0.019
cor			537	1716	1106	197.192	0.018
entregar			538	1714	1214	196.962	0.019
primeira			539	1710	1182	196.502	0.019
filho			540	1706	1012	196.043	0.016
iê			541	1696	268	194.894	0.004
semana			542	1690	1106	194.204	0.018
minhas			543	1688	1228	193.974	0.020
acreditar			544	1686	1170	193.745	0.019
fácil			545	1682	1046	193.285	0.017
passado			546	1678	1178	192.825	0.019
ganhar			547	1672	1094	192.136	0.017
anjo			548	1668	840	191.676	0.013
entrar			549	1666	1108	191.446	0.018
gostar			550	1664	1034	191.216	0.017
aconteceu			551	1662	1210	190.987	0.019
saia			552	1660	1044	190.757	0.017
frio			553	1658	1106	190.527	0.018
pedindo			553	1658	1124	190.527	0.018
talvez			553	1658	1004	190.527	0.016
matar			556	1654	1152	190.067	0.018
ficando			557	1652	990	189.837	0.016
certeza			558	1650	1154	189.608	0.018
zum			559	1642	184	188.688	0.003
joga			560	1640	806	188.459	0.013
estrela			561	1632	1130	187.539	0.018
apaixonar			562	1628	982	187.080	0.016
brincar			563	1626	1036	186.850	0.017
tentei			564	1624	1090	186.620	0.017
pensamento			565	1618	1258	185.930	0.020
brasil			566	1616	880	185.701	0.014
emoção			566	1616	1190	185.701	0.019
botar			568	1612	806	185.241	0.013
qual			569	1610	1084	185.011	0.017
telefone			569	1610	1012	185.011	0.016
noites			571	1606	1034	184.551	0.017
encontrei			572	1602	1160	184.092	0.019
bebendo			573	1594	882	183.172	0.014
manhã			574	1586	1090	182.253	0.017
rosto			574	1586	1134	182.253	0.018
mesa			576	1584	1082	182.023	0.017
atenção			577	1580	1120	181.564	0.018
perdão			578	1574	1144	180.874	0.018
amou			579	1572	874	180.644	0.014
cuidado			579	1572	908	180.644	0.015
papai			581	1568	656	180.185	0.010
fole			582	1566	1020	179.955	0.016
horas			583	1560	1010	179.265	0.016
baião			584	1556	840	178.806	0.013
quarto			585	1552	1076	178.346	0.017
volto			585	1552	936	178.346	0.015
cheio			587	1550	1044	178.116	0.017
coco			588	1548	480	177.886	0.008
nega			589	1546	622	177.657	0.010
daqui			590	1544	966	177.427	0.015
tenha			591	1538	1008	176.737	0.016
três			591	1538	872	176.737	0.014
sonhei			593	1532	1008	176.048	0.016
copo			594	1528	624	175.588	0.010
esqueça			595	1526	962	175.358	0.015
tiver			595	1526	926	175.358	0.015
valeu			597	1522	516	174.899	0.008
mostrar			598	1518	1080	174.439	0.017
bater			599	1508	974	173.290	0.016
so			599	1508	864	173.290	0.014
mente			601	1506	942	173.060	0.015
quente			602	1502	1086	172.600	0.017
bumbum			603	1498	272	172.141	0.004
dona			604	1496	890	171.911	0.014
beleza			605	1494	1080	171.681	0.017
cabelo			605	1494	836	171.681	0.013
briga			607	1492	886	171.451	0.014
anos			608	1482	928	170.302	0.015
bebe			608	1482	570	170.302	0.009
d			608	1482	742	170.302	0.012
dias			608	1482	1066	170.302	0.017
roda			612	1474	480	169.383	0.008
brincadeira			613	1472	1100	169.153	0.018
valer			613	1472	852	169.153	0.014
buscar			615	1470	936	168.923	0.015
morrendo			616	1468	982	168.693	0.016
esquece			617	1466	1002	168.464	0.016
poeira			617	1466	1036	168.464	0.017
palavras			619	1464	954	168.234	0.015
casar			620	1460	884	167.774	0.014
azul			621	1452	782	166.855	0.012
bateu			621	1452	760	166.855	0.012
abre			623	1450	564	166.625	0.009
ó			623	1450	522	166.625	0.008
falei			625	1448	966	166.395	0.015
tocando			625	1448	916	166.395	0.015
uh			627	1446	212	166.165	0.003
contar			628	1442	1024	165.706	0.016
passando			629	1430	1022	164.327	0.016
feira			630	1428	788	164.097	0.013
importa			630	1428	906	164.097	0.014
farra			632	1426	734	163.867	0.012
fique			632	1426	964	163.867	0.015
fogueira			634	1424	928	163.637	0.015
adianta			635	1420	948	163.178	0.015
esperança			635	1420	1118	163.178	0.018
às			637	1416	882	162.718	0.014
pobre			638	1414	852	162.488	0.014
espero			639	1408	930	161.799	0.015
alto			640	1406	840	161.569	0.013
vc			640	1406	544	161.569	0.009
vivendo			640	1406	968	161.569	0.015
virou			643	1402	894	161.109	0.014
gatinha			644	1398	684	160.649	0.011
cadê			645	1396	626	160.420	0.010
ano			646	1392	964	159.960	0.015
onda			646	1392	826	159.960	0.013
tal			646	1392	928	159.960	0.015
aos			649	1390	1014	159.730	0.016
começou			649	1390	972	159.730	0.016
eh			651	1388	220	159.500	0.004
acaba			652	1386	860	159.270	0.014
provar			653	1384	960	159.041	0.015
sorrir			654	1382	908	158.811	0.015
voar			654	1382	808	158.811	0.013
deixo			656	1378	836	158.351	0.013
amanhã			657	1376	692	158.121	0.011
começa			657	1376	920	158.121	0.015
abraçar			659	1372	1018	157.662	0.016
final			659	1372	1002	157.662	0.016
momentos			661	1366	952	156.972	0.015
encontro			662	1362	1060	156.513	0.017
perfume			663	1360	944	156.283	0.015
cansei			664	1358	816	156.053	0.013
repente			665	1356	1102	155.823	0.018
flores			666	1354	918	155.593	0.015
culpa			667	1350	814	155.134	0.013
amanhecer			668	1348	952	154.904	0.015
beira			668	1348	722	154.904	0.012
duas			670	1344	804	154.444	0.013
canta			671	1342	846	154.214	0.014
meia			671	1342	772	154.214	0.012
nela			673	1338	598	153.755	0.010
parte			673	1338	928	153.755	0.015
dom			675	1336	252	153.525	0.004
manda			675	1336	818	153.525	0.013
passei			677	1332	830	153.065	0.013
pegou			678	1330	812	152.835	0.013
quatro			678	1330	722	152.835	0.012
apaixonei			680	1328	744	152.605	0.012
deixei			680	1328	940	152.605	0.015
moça			682	1326	798	152.376	0.013
rosa			683	1324	694	152.146	0.011
alô			684	1316	586	151.226	0.009
sobre			684	1316	886	151.226	0.014
samba			686	1314	458	150.997	0.007
sofri			687	1308	886	150.307	0.014
enganar			688	1300	896	149.388	0.014
fé			688	1300	838	149.388	0.013
fugir			690	1298	904	149.158	0.014
apaixonada			691	1294	872	148.698	0.014
dono			692	1292	884	148.469	0.014
pense			693	1290	702	148.239	0.011
mudou			694	1288	842	148.009	0.013
gata			695	1286	642	147.779	0.010
apenas			696	1284	850	147.549	0.014
sorte			696	1284	816	147.549	0.013
dele			698	1282	752	147.319	0.012
novinha			698	1282	396	147.319	0.006
balançar			700	1280	720	147.090	0.012
levou			701	1278	806	146.860	0.013
esqueceu			702	1276	898	146.630	0.014
cheia			703	1274	876	146.400	0.014
descendo			703	1274	534	146.400	0.009
sentindo			705	1272	946	146.170	0.015
sabendo			706	1268	816	145.711	0.013
senti			706	1268	914	145.711	0.015
acontecer			708	1266	882	145.481	0.014
celular			709	1264	746	145.251	0.012
tive			709	1264	948	145.251	0.015
pa			711	1262	170	145.021	0.003
leve			712	1260	820	144.791	0.013
nasci			712	1260	824	144.791	0.013
xote			714	1252	638	143.872	0.010
janeiro			715	1250	1080	143.642	0.017
mesma			715	1250	904	143.642	0.014
sofre			715	1250	692	143.642	0.011
direito			718	1242	982	142.723	0.016
nasceu			719	1240	878	142.493	0.014
verão			719	1240	850	142.493	0.014
